"","baseMean","log2FoldChange","pvalue","padj","Phylum","Class","Order","Family","Genus","DifferentaillyAbundant"
"290375",35.5540702084842,5.6013575542467,3.15668401802602e-06,0.000210769363665122,"p__Firmicutes","c__Clostridia","o__Clostridiales","f__Clostridiaceae","g__","DC"
"356627",21.8800251466961,3.67354985571996,0.000975859089845269,0.00984936848820574,"p__Firmicutes","c__Clostridia","o__Clostridiales","f__","g__","DC"
"196391",6.89462124000299,3.89847006927498,0.000235955518125035,0.00320014671457079,"p__Firmicutes","c__Clostridia","o__Clostridiales","f__Clostridiaceae","g__","DC"
"1107335",27.177651496989,5.32927617687124,5.73833142711962e-06,0.00033530527258195,"p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Moraxellaceae","g__Acinetobacter","DC"
"134671",10.77225722742,4.3865810770647,0.000787747921882948,0.00847255138015734,"p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacteriales","f__Enterobacteriaceae","g__","DC"
"291266",24.1256378601988,3.40704994807403,4.75197300833496e-05,0.00127728963923966,"p__Firmicutes","c__Clostridia","o__Clostridiales","f__Ruminococcaceae","g__","DC"
"564704",722.510403019376,-4.32886002390778,1.71127757393845e-05,0.000707328063894561,"p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Leuconostocaceae","g__","CeD"
"922761",561.698115921284,2.88752982149992,0.000582253835562146,0.00673861772357257,"p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacteriales","f__Enterobacteriaceae","g__","DC"
"361811",123.947462068298,2.37707455823336,0.000171046390896985,0.00274941235738116,"p__Firmicutes","c__Clostridia","o__Clostridiales","f__Ruminococcaceae","g__","DC"
"583117",18.7922609235322,-3.37731398830451,2.79553343979289e-05,0.000898712231755641,"p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","CeD"
