"","baseMean","log2FoldChange","pvalue","padj","Phylum","Class","Order","Family","Genus","DifferentaillyAbundant"
"1078248",63.3343422779102,6.03616983676291,1.85334519116917e-06,5.57327375344444e-05,"p__Firmicutes","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Anoxybacillus","DC"
"416643",118.180336096882,9.18541285147515,9.61344792125267e-09,8.95562862286612e-07,"p__Firmicutes","c__Bacilli","o__Bacillales","f__Planococcaceae","g__","DC"
"410908",22.5982940012876,-4.0004971872192,0.000102786745318452,0.00170815341233164,"p__Actinobacteria","c__Actinobacteria","o__Actinomycetales","f__Corynebacteriaceae","g__Corynebacterium","CeD"
"949863",62.9489091674854,-3.42109148709232,6.59919592692229e-05,0.00122570359642689,"p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Lactobacillaceae","g__Lactobacillus","CeD"
"990864",268.580250016037,4.55837069735727,1.41569502552121e-07,6.87701083551264e-06,"p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Moraxellaceae","g__Enhydrobacter","DC"
"662310",122.20346282995,11.4227930102326,6.56085507937857e-11,1.19309065972996e-08,"p__Firmicutes","c__Bacilli","o__Bacillales","f__Planococcaceae","g__Lysinibacillus","DC"
"103411",24.045814911917,-5.35636927651213,0.000613914360137925,0.00745551766205961,"p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Moraxellaceae","g__Acinetobacter","CeD"
"4449458",36.8592800181418,-5.97687846751184,4.15239578921781e-05,0.000806842443351091,"p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Moraxellaceae","g__Acinetobacter","CeD"
"4334055",54.3903849548188,-7.04189956009024,3.57251352920721e-05,0.000716203902760112,"p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Moraxellaceae","g__Acinetobacter","CeD"
"928776",22.6225628580059,-5.12327394483826,2.74405482715927e-06,7.87668465159581e-05,"p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Moraxellaceae","g__Acinetobacter","CeD"
"553352",32.4582599582145,5.418192057736,0.000190308690862661,0.00293121800682367,"p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Lactobacillaceae","g__Lactobacillus","DC"
"332471",72.6775545918066,7.59375695916999,8.28989510539709e-06,0.000201348798425318,"p__Firmicutes","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Bacillus","DC"
"278426",13355.6715773308,9.29807726829162,1.07978147835795e-08,9.09176004777394e-07,"p__Firmicutes","c__Bacilli","o__Bacillales","f__Planococcaceae","g__","DC"
"283943",11267.8602646106,8.79518722060662,1.86177447418201e-07,8.7089672625625e-06,"p__Firmicutes","c__Bacilli","o__Bacillales","f__Planococcaceae","g__Planococcus","DC"
"140235",11.8687397921341,5.76791512439602,0.000545147642672945,0.00681704428411811,"p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__Comamonas","DC"
"1051517",71764.1698116981,9.16469932514125,3.28275856074965e-10,4.60680451358535e-08,"p__Firmicutes","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Bacillus","DC"
"1083508",511.624820374732,6.0245915513356,5.2859474186918e-09,5.56345965817312e-07,"p__Proteobacteria","c__Gammaproteobacteria","o__Xanthomonadales","f__Xanthomonadaceae","g__Stenotrophomonas","DC"
"846710",135.206117987058,6.59925039953477,3.20914624108031e-08,2.1332377381497e-06,"p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__Comamonas","DC"
"288912",65.4780422486953,-6.78261059066661,1.85954293298391e-05,0.000419393343635478,"p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Moraxellaceae","g__Acinetobacter","CeD"
"833645",120.873838948162,9.85064799560741,6.61253730650018e-11,1.19309065972996e-08,"p__Firmicutes","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Bacillus","DC"
"754911",68.6834085908354,7.41559185930592,4.73878581937376e-07,1.81366257268759e-05,"p__Firmicutes","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Bacillus","DC"
"558264",46.1911386439577,3.86296259203168,0.000264680520422545,0.00384243100337556,"p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Alcaligenaceae","g__Achromobacter","DC"
"929230",79.1414905303156,-4.54021119142013,2.9944968497977e-05,0.000630341586882417,"p__Actinobacteria","c__Actinobacteria","o__Actinomycetales","f__Corynebacteriaceae","g__Corynebacterium","CeD"
"573124",60.1299095057181,-6.15900550560805,3.71772692334984e-05,0.00073367017252982,"p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Moraxellaceae","g__Acinetobacter","CeD"
"4432762",5599.88627873203,9.30592093588328,2.14173117852602e-07,9.12894646179336e-06,"p__Firmicutes","c__Bacilli","o__Bacillales","f__Planococcaceae","g__Planococcus","DC"
"857556",189.524837689878,9.01732819397665,7.3365619044051e-07,2.57391046812879e-05,"p__Firmicutes","c__Bacilli","o__Bacillales","f__Planococcaceae","g__Planococcus","DC"
"142429",16.9838902046973,5.94196607140005,0.000276281736655587,0.00396527083404553,"p__Firmicutes","c__Bacilli","o__Bacillales","f__Planococcaceae","g__","DC"
