"","baseMean","log2FoldChange","pvalue","padj","Phylum","Class","Order","Family","Genus","DifferentaillyAbundant"
"662310",130.413066369619,-6.25658470779152,0.000304082023048215,0.00667497123764374,"p__Firmicutes","c__Bacilli","o__Bacillales","f__Planococcaceae","g__Lysinibacillus","DC"
"103411",38.0975627509633,6.06322438671996,0.000109643947833801,0.00352426975180076,"p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Moraxellaceae","g__Acinetobacter","FDR"
"60325",26.8519431003469,6.20890426533802,2.0599421541265e-05,0.000842703608506297,"p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Moraxellaceae","g__Acinetobacter","FDR"
"553352",34.5261123537386,-5.91865794888562,0.000157577013649934,0.00443538905397172,"p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Lactobacillaceae","g__Lactobacillus","DC"
"278426",13295.2222009626,-6.35835055190172,0.000184556801222637,0.00461392003056593,"p__Firmicutes","c__Bacilli","o__Bacillales","f__Planococcaceae","g__","DC"
"283943",11383.8856289458,-6.24257389519972,0.000343567258956898,0.00702751211502746,"p__Firmicutes","c__Bacilli","o__Bacillales","f__Planococcaceae","g__Planococcus","DC"
"1051517",71855.5239933093,-6.30746964246194,3.51762626806037e-05,0.00131910985052264,"p__Firmicutes","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Bacillus","DC"
"846710",145.094784808127,-7.39023777336999,1.70396134678776e-08,2.55594202018164e-06,"p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__Comamonas","DC"
"833645",127.153865141508,-9.65277411660837,3.6672635625125e-10,7.49283391558467e-08,"p__Firmicutes","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Bacillus","DC"
"754911",66.1394831561211,-7.56317506325383,8.83036235372603e-07,5.06981157785826e-05,"p__Firmicutes","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Bacillus","DC"
"91369",55.7738585057305,-8.91730903392522,0.000234479425382857,0.00541106366268131,"p__Firmicutes","c__Bacilli","o__Bacillales","f__Planococcaceae","g__","DC"
